created At,tree ID,curb loc,status,spc common,zip city,boroName
8/27/2015,180683,OnCurb,Alive,red maple,Forest Hills,Queens
9/3/2015,200540,OnCurb,Alive,pin oak,Whitestone,Queens
9/5/2015,204026,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
9/5/2015,204337,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
8/30/2015,189565,OnCurb,Alive,American linden,Brooklyn,Brooklyn
8/30/2015,190422,OnCurb,Alive,honeylocust,New York,Manhattan
8/30/2015,190426,OnCurb,Alive,honeylocust,New York,Manhattan
9/7/2015,208649,OnCurb,Alive,American linden,New York,Manhattan
9/8/2015,209610,OnCurb,Alive,honeylocust,Staten Island,Staten Island
8/31/2015,192755,OffsetFromCurb,Alive,London planetree,Brooklyn,Brooklyn
9/5/2015,203719,OnCurb,Alive,London planetree,Astoria,Queens
9/5/2015,203726,OnCurb,Alive,London planetree,Astoria,Queens
9/1/2015,195202,OnCurb,Alive,London planetree,Staten Island,Staten Island
8/30/2015,189465,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
8/31/2015,192998,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
8/30/2015,189834,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
9/5/2015,204208,OnCurb,Alive,ginkgo,Brooklyn,Brooklyn
8/20/2015,161339,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
8/29/2015,187311,OnCurb,Alive,honeylocust,Elmhurst,Queens
9/7/2015,208201,OnCurb,Alive,ginkgo,Brooklyn,Brooklyn
8/31/2015,193093,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
8/31/2015,193310,OnCurb,Alive,honeylocust,New York,Manhattan
9/3/2015,199760,OnCurb,Alive,willow oak,New York,Manhattan
9/5/2015,204325,OnCurb,Alive,sycamore maple,Staten Island,Staten Island
8/30/2015,189700,OnCurb,Alive,willow oak,Brooklyn,Brooklyn
9/5/2015,205044,OnCurb,Alive,Amur maple,Brooklyn,Brooklyn
8/31/2015,192942,OnCurb,Alive,London planetree,Kew Gardens,Queens
9/1/2015,195265,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
9/4/2015,201555,OnCurb,Alive,honeylocust,New York,Manhattan
9/7/2015,208407,OnCurb,Alive,honeylocust,Ridgewood,Queens
8/30/2015,189164,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
8/29/2015,184375,OnCurb,Alive,honeylocust,Bronx,Bronx
8/29/2015,187056,OnCurb,Alive,honeylocust,New York,Manhattan
8/29/2015,187058,OnCurb,Alive,honeylocust,New York,Manhattan
8/26/2015,178659,OnCurb,Alive,honeylocust,Staten Island,Staten Island
8/30/2015,190423,OnCurb,Alive,honeylocust,New York,Manhattan
8/30/2015,190425,OnCurb,Alive,honeylocust,New York,Manhattan
9/5/2015,204202,OnCurb,Alive,London planetree,Staten Island,Staten Island
9/4/2015,201494,OnCurb,Alive,London planetree,Staten Island,Staten Island
9/7/2015,208346,OffsetFromCurb,Alive,London planetree,New York,Manhattan
8/28/2015,181710,OnCurb,Alive,willow oak,Brooklyn,Brooklyn
8/26/2015,178382,OnCurb,Alive,London planetree,New York,Manhattan
9/1/2015,193690,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
9/2/2015,196089,OnCurb,Alive,London planetree,Kew Gardens,Queens
8/31/2015,191988,OnCurb,Alive,willow oak,New York,Manhattan
9/5/2015,203720,OnCurb,Alive,London planetree,Astoria,Queens
8/30/2015,189339,OffsetFromCurb,Alive,London planetree,Brooklyn,Brooklyn
9/7/2015,208230,OffsetFromCurb,Alive,London planetree,New York,Manhattan
9/5/2015,204413,OnCurb,Alive,willow oak,Brooklyn,Brooklyn
8/20/2015,161193,OnCurb,Alive,willow oak,Staten Island,Staten Island
9/2/2015,196132,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
9/2/2015,196223,OnCurb,Alive,London planetree,Kew Gardens,Queens
8/31/2015,192888,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
8/31/2015,192890,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
9/2/2015,197978,OnCurb,Alive,pin oak,Fresh Meadows,Queens
8/26/2015,178601,OnCurb,Alive,pin oak,Staten Island,Staten Island
8/29/2015,184317,OnCurb,Alive,pin oak,Bronx,Bronx
8/29/2015,184031,OnCurb,Alive,red maple,Bronx,Bronx
9/3/2015,200225,OnCurb,Alive,pin oak,New York,Manhattan
9/8/2015,208974,OnCurb,Alive,red maple,Staten Island,Staten Island
9/2/2015,198146,OnCurb,Alive,red maple,Staten Island,Staten Island
9/2/2015,198121,OnCurb,Alive,pin oak,New York,Manhattan
9/1/2015,195252,OnCurb,Alive,pin oak,New York,Manhattan
9/5/2015,204355,OnCurb,Alive,hedge maple,Staten Island,Staten Island
9/6/2015,205759,OnCurb,Alive,pin oak,East Elmhurst,Queens
9/4/2015,201654,OnCurb,Alive,pin oak,Brooklyn,Brooklyn
9/2/2015,198514,OnCurb,Alive,pin oak,New York,Manhattan
9/4/2015,203334,OnCurb,Alive,London planetree,Jackson Heights,Queens
9/3/2015,200628,OnCurb,Alive,London planetree,Whitestone,Queens
8/29/2015,186888,OnCurb,Alive,London planetree,Bronx,Bronx
9/2/2015,196373,OnCurb,Alive,London planetree,New York,Manhattan
9/8/2015,209441,OnCurb,Alive,American elm,Bronx,Bronx
9/6/2015,206435,OnCurb,Alive,sycamore maple,Brooklyn,Brooklyn
9/2/2015,196080,OnCurb,Alive,London planetree,Kew Gardens,Queens
9/5/2015,203759,OnCurb,Alive,London planetree,Astoria,Queens
8/30/2015,190359,OnCurb,Alive,London planetree,New York,Manhattan
9/8/2015,209909,OnCurb,Alive,American elm,Bronx,Bronx
8/27/2015,180295,OnCurb,Alive,American elm,New York,Manhattan
9/7/2015,208373,OnCurb,Alive,London planetree,New York,Manhattan
9/2/2015,196205,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
8/31/2015,192086,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
9/4/2015,203550,OnCurb,Alive,London planetree,Forest Hills,Queens
9/5/2015,203718,OnCurb,Alive,London planetree,Astoria,Queens
9/8/2015,208832,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
8/31/2015,193183,OnCurb,Alive,Amur maple,Forest Hills,Queens
9/4/2015,203577,OnCurb,Alive,London planetree,Forest Hills,Queens
8/27/2015,179477,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
9/4/2015,203386,OnCurb,Alive,London planetree,Forest Hills,Queens
8/30/2015,189537,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
9/2/2015,196130,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
9/3/2015,200676,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
9/6/2015,206326,OnCurb,Alive,London planetree,East Elmhurst,Queens
9/5/2015,204118,OnCurb,Alive,London planetree,Staten Island,Staten Island
8/31/2015,192653,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
9/4/2015,203592,OnCurb,Alive,London planetree,Forest Hills,Queens
8/30/2015,189338,OffsetFromCurb,Alive,London planetree,Brooklyn,Brooklyn
9/7/2015,208240,OffsetFromCurb,Alive,London planetree,New York,Manhattan
9/7/2015,208247,OnCurb,Alive,American elm,New York,Manhattan
9/5/2015,204203,OnCurb,Alive,London planetree,Staten Island,Staten Island
9/4/2015,203385,OnCurb,Alive,London planetree,Forest Hills,Queens
9/2/2015,196372,OnCurb,Alive,London planetree,New York,Manhattan
8/31/2015,192889,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
9/5/2015,203760,OnCurb,Alive,London planetree,Astoria,Queens
9/5/2015,203767,OnCurb,Alive,London planetree,Astoria,Queens
9/7/2015,208458,OnCurb,Alive,London planetree,Flushing,Queens
9/8/2015,209919,OnCurb,Alive,London planetree,New York,Manhattan
9/2/2015,198296,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
9/5/2015,204169,OnCurb,Alive,London planetree,Staten Island,Staten Island
9/7/2015,208338,OnCurb,Alive,London planetree,New York,Manhattan
9/2/2015,196131,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
9/2/2015,196374,OnCurb,Alive,London planetree,New York,Manhattan
9/7/2015,208463,OnCurb,Alive,ash,New York,Manhattan
9/4/2015,201661,OnCurb,Alive,London planetree,Forest Hills,Queens
9/5/2015,203769,OnCurb,Alive,London planetree,Astoria,Queens
9/7/2015,208456,OnCurb,Alive,London planetree,Flushing,Queens
9/8/2015,209921,OffsetFromCurb,Alive,London planetree,New York,Manhattan
8/30/2015,189840,OnCurb,Alive,Amur maple,Flushing,Queens
9/5/2015,203887,OnCurb,Alive,willow oak,New York,Manhattan
9/3/2015,200654,OnCurb,Alive,Amur maple,Flushing,Queens
9/2/2015,196440,OnCurb,Alive,American elm,New York,Manhattan
9/5/2015,204246,OnCurb,Alive,hedge maple,Staten Island,Staten Island
8/31/2015,193014,OnCurb,Alive,pin oak,Brooklyn,Brooklyn
8/27/2015,180707,OnCurb,Alive,pin oak,Brooklyn,Brooklyn
9/2/2015,198230,OnCurb,Alive,red maple,Staten Island,Staten Island
8/31/2015,192814,OnCurb,Alive,pin oak,New York,Manhattan
8/27/2015,179828,OnCurb,Alive,red maple,New York,Manhattan
9/2/2015,196765,OnCurb,Alive,pin oak,Kew Gardens,Queens
8/26/2015,178599,OnCurb,Alive,pin oak,Staten Island,Staten Island
9/7/2015,208229,OnCurb,Alive,pin oak,New York,Manhattan
8/30/2015,189313,OnCurb,Alive,pin oak,Rego Park,Queens
9/8/2015,208876,OnCurb,Alive,pin oak,Astoria,Queens
8/30/2015,189570,OnCurb,Alive,pin oak,Brooklyn,Brooklyn
8/24/2015,170988,OnCurb,Alive,honeylocust,Far Rockaway,Queens
8/26/2015,178783,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
8/25/2015,175693,OnCurb,Alive,ginkgo,New York,Manhattan
8/31/2015,190540,OnCurb,Alive,honeylocust,New York,Manhattan
8/12/2015,140722,OnCurb,Alive,ginkgo,Brooklyn,Brooklyn
8/20/2015,161235,OnCurb,Alive,honeylocust,Far Rockaway,Queens
8/20/2015,161242,OnCurb,Alive,honeylocust,Far Rockaway,Queens
8/29/2015,186060,OnCurb,Alive,honeylocust,Bronx,Bronx
8/27/2015,180891,OnCurb,Alive,ginkgo,Corona,Queens
8/28/2015,183381,OnCurb,Alive,honeylocust,Springfield Gardens,Queens
8/22/2015,166440,OnCurb,Alive,ginkgo,Rego Park,Queens
8/10/2015,134320,OnCurb,Alive,honeylocust,Queens Village,Queens
8/23/2015,168348,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
9/4/2015,201658,OnCurb,Alive,pin oak,Forest Hills,Queens
9/5/2015,204165,OnCurb,Alive,hedge maple,Staten Island,Staten Island
8/29/2015,186817,OnCurb,Alive,pin oak,East Elmhurst,Queens
9/2/2015,198164,OnCurb,Alive,pin oak,Flushing,Queens
9/2/2015,196627,OnCurb,Alive,pin oak,Kew Gardens,Queens
9/7/2015,208395,OffsetFromCurb,Alive,pin oak,New York,Manhattan
8/31/2015,191733,OnCurb,Alive,pin oak,Kew Gardens,Queens
9/8/2015,209913,OnCurb,Alive,pin oak,New York,Manhattan
9/1/2015,194656,OnCurb,Alive,pin oak,Staten Island,Staten Island
8/31/2015,192702,OnCurb,Alive,red maple,Brooklyn,Brooklyn
8/31/2015,191162,OnCurb,Alive,ginkgo,Brooklyn,Brooklyn
8/31/2015,191248,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
8/30/2015,189708,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
9/4/2015,201682,OnCurb,Alive,honeylocust,Bronx,Bronx
9/1/2015,195151,OnCurb,Alive,American linden,East Elmhurst,Queens
8/25/2015,173925,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
8/26/2015,178756,OnCurb,Alive,honeylocust,New York,Manhattan
8/20/2015,163280,OnCurb,Alive,honeylocust,New York,Manhattan
8/30/2015,190420,OnCurb,Alive,honeylocust,New York,Manhattan
8/30/2015,190154,OnCurb,Alive,honeylocust,Astoria,Queens
8/31/2015,191273,OnCurb,Alive,honeylocust,New York,Manhattan
8/26/2015,178435,OnCurb,Alive,ginkgo,Woodhaven,Queens
8/27/2015,180307,OnCurb,Alive,ginkgo,Far Rockaway,Queens
8/27/2015,179475,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
8/30/2015,189401,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
8/26/2015,176850,OnCurb,Alive,ginkgo,New York,Manhattan
8/31/2015,191197,OnCurb,Alive,ginkgo,Kew Gardens,Queens
8/29/2015,183942,OnCurb,Alive,honeylocust,Bronx,Bronx
8/26/2015,178779,OnCurb,Alive,ginkgo,Brooklyn,Brooklyn
8/30/2015,189593,OnCurb,Alive,ginkgo,Brooklyn,Brooklyn
9/3/2015,200590,OnCurb,Alive,ginkgo,Fresh Meadows,Queens
9/3/2015,200604,OnCurb,Alive,honeylocust,Flushing,Queens
8/27/2015,180266,OnCurb,Alive,honeylocust,New York,Manhattan
9/6/2015,206337,OnCurb,Alive,American linden,Brooklyn,Brooklyn
9/6/2015,206338,OnCurb,Alive,American linden,Brooklyn,Brooklyn
8/30/2015,190393,OnCurb,Alive,honeylocust,New York,Manhattan
9/4/2015,201558,OnCurb,Alive,honeylocust,New York,Manhattan
9/6/2015,205787,OnCurb,Alive,ginkgo,New York,Manhattan
9/6/2015,205970,OnCurb,Alive,ginkgo,East Elmhurst,Queens
8/27/2015,179537,OnCurb,Alive,red maple,Flushing,Queens
9/2/2015,196492,OffsetFromCurb,Alive,pin oak,Brooklyn,Brooklyn
8/27/2015,179476,OnCurb,Alive,pin oak,Brooklyn,Brooklyn
8/30/2015,189590,OnCurb,Alive,ginkgo,Brooklyn,Brooklyn
8/31/2015,191351,OnCurb,Alive,honeylocust,Forest Hills,Queens
9/8/2015,208767,OnCurb,Alive,honeylocust,New York,Manhattan
9/6/2015,205734,OnCurb,Alive,honeylocust,New York,Manhattan
9/4/2015,201486,OnCurb,Alive,honeylocust,Rockaway Park,Queens
9/4/2015,203326,OnCurb,Alive,honeylocust,Jackson Heights,Queens
8/27/2015,179994,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
8/26/2015,178583,OnCurb,Alive,American linden,Woodhaven,Queens
8/29/2015,187232,OnCurb,Alive,ginkgo,Brooklyn,Brooklyn
8/27/2015,179887,OnCurb,Alive,American linden,Brooklyn,Brooklyn
9/3/2015,200381,OnCurb,Alive,honeylocust,Staten Island,Staten Island
9/2/2015,198290,OnCurb,Alive,honeylocust,Flushing,Queens
8/30/2015,190087,OnCurb,Alive,honeylocust,Astoria,Queens
8/30/2015,190421,OnCurb,Alive,honeylocust,New York,Manhattan
8/28/2015,181446,OnCurb,Alive,ginkgo,Brooklyn,Brooklyn
9/3/2015,199062,OnCurb,Alive,crab apple,New York,Manhattan
9/3/2015,200398,OnCurb,Alive,honeylocust,Staten Island,Staten Island
8/27/2015,179942,OnCurb,Alive,American linden,Brooklyn,Brooklyn
8/30/2015,189351,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
9/1/2015,196020,OnCurb,Alive,honeylocust,Bronx,Bronx
9/6/2015,205829,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
9/8/2015,208820,OnCurb,Alive,honeylocust,New York,Manhattan
8/26/2015,178606,OnCurb,Alive,honeylocust,New York,Manhattan
9/3/2015,200673,OnCurb,Alive,London planetree,Brooklyn,Brooklyn
8/29/2015,186501,OnCurb,Alive,honeylocust,Bronx,Bronx
9/2/2015,197897,OnCurb,Alive,American linden,Brooklyn,Brooklyn
9/3/2015,199051,OnCurb,Alive,crab apple,New York,Manhattan
9/3/2015,200406,OnCurb,Alive,honeylocust,Staten Island,Staten Island
8/30/2015,189459,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
8/30/2015,189460,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
8/30/2015,189709,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
9/8/2015,208761,OnCurb,Alive,honeylocust,New York,Manhattan
8/30/2015,190395,OnCurb,Alive,honeylocust,New York,Manhattan
8/29/2015,187234,OnCurb,Alive,ginkgo,Brooklyn,Brooklyn
9/6/2015,205785,OnCurb,Alive,ginkgo,New York,Manhattan
9/4/2015,201410,OnCurb,Alive,ginkgo,New York,Manhattan
9/8/2015,208760,OnCurb,Alive,ginkgo,New York,Manhattan
9/8/2015,208763,OnCurb,Alive,honeylocust,New York,Manhattan
8/30/2015,189626,OnCurb,Alive,ginkgo,Brooklyn,Brooklyn
8/30/2015,190394,OnCurb,Alive,honeylocust,New York,Manhattan
9/3/2015,200471,OnCurb,Alive,ginkgo,New York,Manhattan
8/27/2015,179834,OffsetFromCurb,Alive,ginkgo,New York,Manhattan
8/27/2015,180251,OnCurb,Alive,honeylocust,New York,Manhattan
9/8/2015,209063,OnCurb,Alive,honeylocust,Staten Island,Staten Island
9/4/2015,201590,OffsetFromCurb,Alive,honeylocust,Rockaway Park,Queens
8/29/2015,187054,OnCurb,Alive,honeylocust,New York,Manhattan
9/4/2015,201811,OffsetFromCurb,Alive,honeylocust,Rockaway Park,Queens
9/8/2015,208863,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
9/1/2015,195995,OnCurb,Alive,honeylocust,New York,Manhattan
8/30/2015,190386,OnCurb,Alive,honeylocust,New York,Manhattan
9/8/2015,208819,OnCurb,Alive,honeylocust,New York,Manhattan
9/3/2015,200697,OnCurb,Alive,American linden,Brooklyn,Brooklyn
8/30/2015,189599,OnCurb,Alive,American linden,Brooklyn,Brooklyn
8/29/2015,187229,OnCurb,Alive,honeylocust,New York,Manhattan
8/31/2015,192892,OnCurb,Alive,ginkgo,Brooklyn,Brooklyn
9/6/2015,206381,OnCurb,Alive,ginkgo,New York,Manhattan
8/29/2015,187061,OnCurb,Alive,honeylocust,New York,Manhattan
8/30/2015,189365,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
8/20/2015,161340,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
9/5/2015,204224,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
8/30/2015,190435,OnCurb,Alive,honeylocust,New York,Manhattan
8/31/2015,193092,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
9/8/2015,209331,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
9/3/2015,200439,OnCurb,Alive,ginkgo,New York,Manhattan
8/27/2015,180252,OnCurb,Alive,honeylocust,New York,Manhattan
8/27/2015,180434,OnCurb,Alive,ginkgo,Brooklyn,Brooklyn
9/8/2015,209045,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
9/4/2015,201593,OffsetFromCurb,Alive,honeylocust,Rockaway Park,Queens
8/31/2015,193069,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
8/30/2015,189243,OnCurb,Alive,American linden,Brooklyn,Brooklyn
8/27/2015,180516,OnCurb,Alive,ginkgo,Ridgewood,Queens
9/8/2015,208860,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
9/5/2015,204033,OnCurb,Alive,honeylocust,New York,Manhattan
9/7/2015,208410,OnCurb,Alive,ginkgo,Ridgewood,Queens
8/24/2015,170023,OffsetFromCurb,Alive,honeylocust,New York,Manhattan
8/30/2015,189583,OnCurb,Alive,ginkgo,Brooklyn,Brooklyn
8/30/2015,189500,OnCurb,Alive,honeylocust,Brooklyn,Brooklyn
8/30/2015,189902,OnCurb,Alive,ginkgo,Brooklyn,Brooklyn
8/29/2015,187294,OnCurb,Alive,honeylocust,New York,Manhattan
8/31/2015,192893,OnCurb,Alive,ginkgo,Brooklyn,Brooklyn
9/6/2015,206382,OnCurb,Alive,honeylocust,New York,Manhattan
8/30/2015,189249,OnCurb,Alive,American linden,Brooklyn,Brooklyn
8/30/2015,189251,OnCurb,Alive,ginkgo,Brooklyn,Brooklyn
